2016-05-08,0
2016-05-09,0
2016-05-10,0
2016-05-11,0
2016-05-12,1
2016-05-13,3
2016-05-14,0
2016-05-15,0
2016-05-16,0
2016-05-17,0
2016-05-18,1
2016-05-19,0
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,0
2016-05-24,1
2016-05-25,2
2016-05-26,1
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,3
2016-06-08,0
2016-06-09,2
2016-06-10,0
2016-06-11,0
2016-06-12,6
2016-06-13,1
2016-06-14,0
2016-06-15,2
2016-06-16,3
2016-06-17,10
2016-06-18,0
2016-06-19,0
2016-06-20,2
2016-06-21,0
2016-06-22,0
2016-06-23,3
2016-06-24,2
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,1
2016-06-30,0
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,4
2016-07-06,12
2016-07-07,6
2016-07-08,0
2016-07-09,22
2016-07-10,32
2016-07-11,14
2016-07-12,17
2016-07-13,0
2016-07-14,4
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,3
2016-07-21,0
2016-07-22,0
2016-07-23,0
2016-07-24,2
2016-07-25,1
2016-07-26,2
2016-07-27,0
2016-07-28,0
2016-07-29,1
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,1
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,0
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,3
2016-08-17,0
2016-08-18,1
2016-08-19,0
2016-08-20,0
2016-08-21,0
2016-08-22,0
2016-08-23,0
2016-08-24,6
2016-08-25,2
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,0
2016-08-31,0
2016-09-01,0
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,3
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,1
2016-09-10,0
2016-09-11,0
2016-09-12,2
2016-09-13,1
2016-09-14,2
2016-09-15,3
2016-09-16,0
2016-09-17,14
2016-09-18,0
2016-09-19,0
2016-09-20,8
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,5
2016-09-28,5
2016-09-29,0
2016-09-30,2
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,0
2016-10-05,1
2016-10-06,0
2016-10-07,1
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,0
